year	month	day	symbol	nav
2005	8	15	SPK00	0.70047
2005	8	16	SPK00	0.70047
2005	8	17	SPK00	0.70047
2005	8	18	SPK00	0.70111
2005	8	19	SPK00	0.70111
2005	8	20	SPK00	0.70111
2005	8	21	SPK00	0.70111
2005	8	22	SPK00	0.70111
2005	8	23	SPK00	0.70111
2005	8	24	SPK00	0.70175
2005	8	25	SPK00	0.70175
2005	8	26	SPK00	0.70175
2005	8	27	SPK00	0.70175
2005	8	28	SPK00	0.70175
2005	8	29	SPK00	0.70175
2005	8	30	SPK00	0.70175
2005	8	31	SPK00	0.70239
2005	9	1	SPK00	0.70303
2005	9	2	SPK00	0.70303
2005	9	3	SPK00	0.70303
2005	9	4	SPK00	0.70303
2005	9	5	SPK00	0.70367
2005	9	6	SPK00	0.70303
2005	9	7	SPK00	0.70303
2005	9	8	SPK00	0.70367
2005	9	9	SPK00	0.70367
2005	9	10	SPK00	0.70367
2005	9	11	SPK00	0.70367
2005	9	12	SPK00	0.70367
2005	9	13	SPK00	0.70303
2005	9	14	SPK00	0.70367
2005	9	15	SPK00	0.70303
2005	9	16	SPK00	0.70303
2005	9	17	SPK00	0.70303
2005	9	18	SPK00	0.70303
2005	9	19	SPK00	0.70303
2005	9	20	SPK00	0.70367
2005	9	21	SPK00	0.70367
2005	9	22	SPK00	0.70495
2005	9	23	SPK00	0.70431
2005	9	24	SPK00	0.70495
2005	9	25	SPK00	0.70495
2005	9	26	SPK00	0.70367
2005	9	27	SPK00	0.70367
2005	9	28	SPK00	0.70367
2005	9	29	SPK00	0.70303
2005	9	30	SPK00	0.70239
2005	10	1	SPK00	0.70303
2005	10	2	SPK00	0.70303
2005	10	3	SPK00	0.70303
2005	10	4	SPK00	0.70367
2005	10	5	SPK00	0.70303
2005	10	6	SPK00	0.70303
2005	10	7	SPK00	0.70239
2005	10	8	SPK00	0.70303
2005	10	9	SPK00	0.70303
2005	10	10	SPK00	0.70239
2005	10	11	SPK00	0.70303
2005	10	12	SPK00	0.70175
2005	10	13	SPK00	0.70111
2005	10	14	SPK00	0.70047
2005	10	15	SPK00	0.70111
2005	10	16	SPK00	0.70111
2005	10	17	SPK00	0.69983
2005	10	18	SPK00	0.69983
2005	10	19	SPK00	0.70047
2005	10	20	SPK00	0.69983
2005	10	21	SPK00	0.70111
2005	10	22	SPK00	0.69983
2005	10	23	SPK00	0.69983
2005	10	24	SPK00	0.70111
2005	10	25	SPK00	0.70047
2005	10	26	SPK00	0.69919
2005	10	27	SPK00	0.69919
2005	10	28	SPK00	0.69855
2005	10	29	SPK00	0.69919
2005	10	30	SPK00	0.69919
2005	10	31	SPK00	0.69855
2005	11	1	SPK00	0.69919
2005	11	2	SPK00	0.69792
2005	11	3	SPK00	0.69792
2005	11	4	SPK00	0.69792
2005	11	5	SPK00	0.69792
2005	11	6	SPK00	0.69792
2005	11	7	SPK00	0.69728
2005	11	8	SPK00	0.69728
2005	11	9	SPK00	0.69792
2005	11	10	SPK00	0.69728
2005	11	11	SPK00	0.69728
2005	11	12	SPK00	0.69728
2005	11	13	SPK00	0.69728
2005	11	14	SPK00	0.69728
2005	11	15	SPK00	0.69728
2005	11	16	SPK00	0.69792
2005	11	17	SPK00	0.69855
2005	11	18	SPK00	0.69792
2005	11	19	SPK00	0.69855
2005	11	20	SPK00	0.69855
2005	11	21	SPK00	0.69792
2005	11	22	SPK00	0.69855
2005	11	23	SPK00	0.69855
2005	11	24	SPK00	0.69983
2005	11	25	SPK00	0.70047
2005	11	26	SPK00	0.69983
2005	11	27	SPK00	0.69983
2005	11	28	SPK00	0.69983
2005	11	29	SPK00	0.70047
2005	11	30	SPK00	0.69983
2005	12	1	SPK00	0.70047
2005	12	2	SPK00	0.70047
2005	12	3	SPK00	0.70047
2005	12	4	SPK00	0.70047
2005	12	5	SPK00	0.70047
2005	12	6	SPK00	0.70047
2005	12	7	SPK00	0.70047
2005	12	8	SPK00	0.70111
2005	12	9	SPK00	0.70047
2005	12	10	SPK00	0.70111
2005	12	11	SPK00	0.70111
2005	12	12	SPK00	0.70047
2005	12	13	SPK00	0.70047
2005	12	14	SPK00	0.70111
2005	12	15	SPK00	0.70111
2005	12	16	SPK00	0.70175
2005	12	17	SPK00	0.70111
2005	12	18	SPK00	0.70111
2005	12	19	SPK00	0.70175
2005	12	20	SPK00	0.70175
2005	12	21	SPK00	0.70111
2005	12	22	SPK00	0.70111
2005	12	23	SPK00	0.70175
2005	12	24	SPK00	0.70111
2005	12	25	SPK00	0.70111
2005	12	26	SPK00	0.70111
