day	month	year	symbol	nav
08	11	2013	SPK00	0.88704
09	11	2013	SPK00	0.88699
10	11	2013	SPK00	0.88699
11	11	2013	SPK00	0.88717
12	11	2013	SPK00	0.88686
13	11	2013	SPK00	0.88714
14	11	2013	SPK00	0.88757
15	11	2013	SPK00	0.88755
16	11	2013	SPK00	0.88757
17	11	2013	SPK00	0.88757
18	11	2013	SPK00	0.88769
19	11	2013	SPK00	0.88755
20	11	2013	SPK00	0.88719
21	11	2013	SPK00	0.88711
22	11	2013	SPK00	0.88709
23	11	2013	SPK00	0.88711
24	11	2013	SPK00	0.88711
25	11	2013	SPK00	0.88737
26	11	2013	SPK00	0.88733
27	11	2013	SPK00	0.88776
28	11	2013	SPK00	0.88769
29	11	2013	SPK00	0.88815
30	11	2013	SPK00	0.88769
01	12	2013	SPK00	0.88769
02	12	2013	SPK00	0.88771
03	12	2013	SPK00	0.88793
04	12	2013	SPK00	0.88762
05	12	2013	SPK00	0.88723
06	12	2013	SPK00	0.88723
07	12	2013	SPK00	0.88723
08	12	2013	SPK00	0.88723
09	12	2013	SPK00	0.88708
10	12	2013	SPK00	0.88729
11	12	2013	SPK00	0.88691
12	12	2013	SPK00	0.88703
13	12	2013	SPK00	0.88692
14	12	2013	SPK00	0.88703
15	12	2013	SPK00	0.88703
16	12	2013	SPK00	0.88734
17	12	2013	SPK00	0.88739
18	12	2013	SPK00	0.88763
19	12	2013	SPK00	0.88764
20	12	2013	SPK00	0.88772
21	12	2013	SPK00	0.88764
22	12	2013	SPK00	0.88764
23	12	2013	SPK00	0.88773
24	12	2013	SPK00	0.88772
25	12	2013	SPK00	0.88772
26	12	2013	SPK00	0.88772
27	12	2013	SPK00	0.88732
28	12	2013	SPK00	0.88773
29	12	2013	SPK00	0.88773
30	12	2013	SPK00	0.88742
31	12	2013	SPK00	0.88744
01	1	2014	SPK00	0.88742
02	1	2014	SPK00	0.88765
03	1	2014	SPK00	0.88783
04	1	2014	SPK00	0.88765
05	1	2014	SPK00	0.88765
06	1	2014	SPK00	0.88826
07	1	2014	SPK00	0.88851
08	1	2014	SPK00	0.88846
09	1	2014	SPK00	0.88833
10	1	2014	SPK00	0.8884
11	1	2014	SPK00	0.88833
12	1	2014	SPK00	0.88833
13	1	2014	SPK00	0.88894
14	1	2014	SPK00	0.88862
15	1	2014	SPK00	0.88867
16	1	2014	SPK00	0.88951
17	1	2014	SPK00	0.88997
18	1	2014	SPK00	0.88951
19	1	2014	SPK00	0.88951
20	1	2014	SPK00	0.89008
21	1	2014	SPK00	0.89018
22	1	2014	SPK00	0.8901
23	1	2014	SPK00	0.89019
24	1	2014	SPK00	0.8903
25	1	2014	SPK00	0.89019
26	1	2014	SPK00	0.89019
27	1	2014	SPK00	0.89023
28	1	2014	SPK00	0.8902
29	1	2014	SPK00	0.89034
30	1	2014	SPK00	0.89033
31	1	2014	SPK00	0.89096
01	2	2014	SPK00	0.89033
02	2	2014	SPK00	0.89033
03	2	2014	SPK00	0.89093
04	2	2014	SPK00	0.8912
05	2	2014	SPK00	0.89165
06	2	2014	SPK00	0.89181
07	2	2014	SPK00	0.89219
08	2	2014	SPK00	0.89181
09	2	2014	SPK00	0.89181
10	2	2014	SPK00	0.89226
11	2	2014	SPK00	0.89251
12	2	2014	SPK00	0.89275
13	2	2014	SPK00	0.89295
14	2	2014	SPK00	0.89285
15	2	2014	SPK00	0.89295
16	2	2014	SPK00	0.89295
17	2	2014	SPK00	0.89308
18	2	2014	SPK00	0.89321
19	2	2014	SPK00	0.89351
20	2	2014	SPK00	0.8932
21	2	2014	SPK00	0.89347
22	2	2014	SPK00	0.8932
23	2	2014	SPK00	0.8932
24	2	2014	SPK00	0.8932
25	2	2014	SPK00	0.89374
26	2	2014	SPK00	0.89406
27	2	2014	SPK00	0.89462
28	2	2014	SPK00	0.89424
01	3	2014	SPK00	0.89462
02	3	2014	SPK00	0.89462
03	3	2014	SPK00	0.89401
04	3	2014	SPK00	0.89417
05	3	2014	SPK00	0.89424
06	3	2014	SPK00	0.89372
07	3	2014	SPK00	0.89361
08	3	2014	SPK00	0.89372
09	3	2014	SPK00	0.89372
10	3	2014	SPK00	0.89358
11	3	2014	SPK00	0.89357
12	3	2014	SPK00	0.89341
13	3	2014	SPK00	0.89361
14	3	2014	SPK00	0.89312
15	3	2014	SPK00	0.89361
16	3	2014	SPK00	0.89361
17	3	2014	SPK00	0.89313
18	3	2014	SPK00	0.89343
19	3	2014	SPK00	0.89355
20	3	2014	SPK00	0.89292
21	3	2014	SPK00	0.89282
22	3	2014	SPK00	0.89292
23	3	2014	SPK00	0.89292
24	3	2014	SPK00	0.89294
25	3	2014	SPK00	0.89311
26	3	2014	SPK00	0.89357
27	3	2014	SPK00	0.89391
28	3	2014	SPK00	0.89402
29	3	2014	SPK00	0.89391
30	3	2014	SPK00	0.89391
31	3	2014	SPK00	0.89397
01	4	2014	SPK00	0.8942
02	4	2014	SPK00	0.89452
03	4	2014	SPK00	0.89437
04	4	2014	SPK00	0.89481
05	4	2014	SPK00	0.89437
06	4	2014	SPK00	0.89437
07	4	2014	SPK00	0.89497
08	4	2014	SPK00	0.89489
09	4	2014	SPK00	0.89497
10	4	2014	SPK00	0.89558
11	4	2014	SPK00	0.89583
12	4	2014	SPK00	0.89558
13	4	2014	SPK00	0.89558
14	4	2014	SPK00	0.89591
15	4	2014	SPK00	0.89599
16	4	2014	SPK00	0.89617
17	4	2014	SPK00	0.8961
18	4	2014	SPK00	0.89617
19	4	2014	SPK00	0.89617
20	4	2014	SPK00	0.89617
21	4	2014	SPK00	0.89612
22	4	2014	SPK00	0.89607
23	4	2014	SPK00	0.89604
24	4	2014	SPK00	0.89596
25	4	2014	SPK00	0.89622
26	4	2014	SPK00	0.89596
27	4	2014	SPK00	0.89596
28	4	2014	SPK00	0.89608
29	4	2014	SPK00	0.89632
30	4	2014	SPK00	0.89677
01	5	2014	SPK00	0.89632
02	5	2014	SPK00	0.89706
03	5	2014	SPK00	0.89677
04	5	2014	SPK00	0.89677
05	5	2014	SPK00	0.89713
06	5	2014	SPK00	0.89714
07	5	2014	SPK00	0.89713
08	5	2014	SPK00	0.89763
09	5	2014	SPK00	0.89807
10	5	2014	SPK00	0.89763
11	5	2014	SPK00	0.89763
12	5	2014	SPK00	0.89787
13	5	2014	SPK00	0.89822
14	5	2014	SPK00	0.8985
15	5	2014	SPK00	0.8988
16	5	2014	SPK00	0.89881
17	5	2014	SPK00	0.8988
18	5	2014	SPK00	0.8988
19	5	2014	SPK00	0.89867
20	5	2014	SPK00	0.89868
21	5	2014	SPK00	0.8984
22	5	2014	SPK00	0.8986
23	5	2014	SPK00	0.89871
24	5	2014	SPK00	0.8986
25	5	2014	SPK00	0.8986
26	5	2014	SPK00	0.89878
27	5	2014	SPK00	0.89896
28	5	2014	SPK00	0.89923
29	5	2014	SPK00	0.8992
30	5	2014	SPK00	0.89929
31	5	2014	SPK00	0.8992
01	6	2014	SPK00	0.8992
02	6	2014	SPK00	0.89937
03	6	2014	SPK00	0.89912
04	6	2014	SPK00	0.89901
05	6	2014	SPK00	0.89926
06	6	2014	SPK00	0.90027
